Compte;Intitulé du compte;Débit Ouverture;Crédit Ouverture;Mouvements Débit;Mouvements Crédit;Solde Débiteur;Solde Créditeur
101000;Capital social;0.00;100000.00;0.00;0.00;0.00;100000.00
106100;Réserve légale;0.00;10000.00;0.00;0.00;0.00;10000.00
119000;Report à nouveau (solde débiteur);5000.00;0.00;0.00;0.00;5000.00;0.00
164000;Emprunts auprès des établissements de crédit;0.00;50000.00;12000.00;0.00;0.00;38000.00
211100;Terrains;50000.00;0.00;0.00;0.00;50000.00;0.00
213000;Constructions;120000.00;0.00;0.00;0.00;120000.00;0.00
281300;Amortissements des constructions;0.00;24000.00;0.00;6000.00;0.00;30000.00
401000;Fournisseurs;0.00;15000.00;45000.00;52000.00;0.00;22000.00
411000;Clients;25000.00;0.00;85000.00;75000.00;35000.00;0.00
421000;Personnel - Rémunérations dues;0.00;0.00;120000.00;125000.00;0.00;5000.00
431000;Sécurité sociale;0.00;0.00;45000.00;48000.00;0.00;3000.00
445710;TVA collectée;0.00;0.00;15000.00;18000.00;0.00;3000.00
445660;TVA déductible sur autres biens et services;0.00;0.00;9000.00;8000.00;1000.00;0.00
512000;Banque;45000.00;0.00;150000.00;140000.00;55000.00;0.00
601000;Achats stockés - Matières premières;0.00;0.00;40000.00;0.00;40000.00;0.00
613200;Locations immobilières;0.00;0.00;12000.00;0.00;12000.00;0.00
622600;Honoraires;0.00;0.00;5000.00;0.00;5000.00;0.00
641100;Salaires, appointements;0.00;0.00;125000.00;0.00;125000.00;0.00
645100;Cotisations à l'URSSAF;0.00;0.00;48000.00;0.00;48000.00;0.00
681120;Dotations aux amortissements sur immobilisations corporelles;0.00;0.00;6000.00;0.00;6000.00;0.00
701000;Ventes de produits finis;0.00;0.00;0.00;250000.00;0.00;250000.00
706000;Prestations de services;0.00;0.00;0.00;30000.00;0.00;30000.00
